Roll	CSE101	CSE102	STAT103	 MATH104  GE105  SE106

1201	75	87	76	 89	  78	 75
1202	95	67	96	 79	  88	 85
1203	65	77	76	 59	  68	 95
1204 	80	75	72	 79 	  85	 90
1205	88	85	75	 70	  80 	 70
1206	70	77	86	 79	  88	 85
1207	85	67	86	 73	  85	 89
1208	85	87	72	 69	  60	 85
1209 	82	85	70	 89 	  80	 80
1210	88	75	75	 80	  80 	 70
1211	85	77	86	 79	  88	 75
1212	75	77	76	 89	  88	 85
1213	85	87	76	 69	  78	 85
1214 	70	74	79	 89 	  75	 90
1215	78	85	74	 75	  85 	 76
1216	85	87	86	 79	  88	 77
1217	84	77	66	 81	  88	 85
1218	65	87	86	 69	  78	 75
1219 	82	75	82	 71 	  85	 70
1220	86	75	65	 80	  86 	 76
1221	79	87	86	 85	  76	 74
1222	85	87	86	 79	  78	 75
1223	75	74	69	 76	  88	 85
1224 	88	65	82	 77 	  81	 80
1225	81	85	75	 85	  70 	 80
1226	85	77	86	 79	  74	 85
1227	95	77	86	 89	  78	 75
1228	65	74	75	 85	  88	 75
1229 	80	85	82	 81 	  75	 80
1230	88	84	73	 79	  84 	 80
1231	75	87	69	 79	  88	 85
1232 	84	79	79	 79 	  89	 80
1233	88	73	72	 71	  80 	 70
	
