Roll	  CSE101 CSE102 STAT103 MATH104 GE105  SE106      CGPA
----      ------ ------ ------- ------- -----  -----      -----

1201	  3.75   4.00   3.75    4.00    3.75    3.75  	  3.83
1202	  4.00   3.25   4.00    3.75    4.00    4.00  	  3.83
1203	  3.25   3.75   3.75    2.75    3.25    4.00  	  3.46
1204	  4.00   3.75   3.50    3.75    4.00    4.00  	  3.83
1205	  4.00   4.00   3.75    3.50    4.00    3.50  	  3.79
1206	  3.50   3.75   4.00    3.75    4.00    4.00  	  3.83
1207	  4.00   3.25   4.00    3.50    4.00    4.00  	  3.79
1208	  4.00   4.00   3.50    3.25    3.00    4.00  	  3.63
1209	  4.00   4.00   3.50    4.00    4.00    4.00  	  3.92
1210	  4.00   3.75   3.75    4.00    4.00    3.50  	  3.83
1211	  4.00   3.75   4.00    3.75    4.00    3.75  	  3.88
1212	  3.75   3.75   3.75    4.00    4.00    4.00  	  3.88
1213	  4.00   4.00   3.75    3.25    3.75    4.00  	  3.79
1214	  3.50   3.50   3.75    4.00    3.75    4.00  	  3.75
1215	  3.75   4.00   3.50    3.75    4.00    3.75  	  3.79
1216	  4.00   4.00   4.00    3.75    4.00    3.75  	  3.92
1217	  4.00   3.75   3.25    4.00    4.00    4.00  	  3.83
1218	  3.25   4.00   4.00    3.25    3.75    3.75  	  3.67
1219	  4.00   3.75   4.00    3.50    4.00    3.50  	  3.79
1220	  4.00   3.75   3.25    4.00    4.00    3.75  	  3.79
1221	  3.75   4.00   4.00    4.00    3.75    3.50  	  3.83
1222	  4.00   4.00   4.00    3.75    3.75    3.75  	  3.88
1223	  3.75   3.50   3.25    3.75    4.00    4.00  	  3.71
1224	  4.00   3.25   4.00    3.75    4.00    4.00  	  3.83
1225	  4.00   4.00   3.75    4.00    3.50    4.00  	  3.88
1226	  4.00   3.75   4.00    3.75    3.50    4.00  	  3.83
1227	  4.00   3.75   4.00    4.00    3.75    3.75  	  3.88
1228	  3.25   3.50   3.75    4.00    4.00    3.75  	  3.71
1229	  4.00   4.00   4.00    4.00    3.75    4.00  	  3.96
1230	  4.00   4.00   3.50    3.75    4.00    4.00  	  3.88
1231	  3.75   4.00   3.25    3.75    4.00    4.00  	  3.79
1232	  4.00   3.75   3.75    3.75    4.00    4.00  	  3.88
1233	  4.00   3.50   3.50    3.50    4.00    3.50  	  3.67
